Sum of Adj Close,Sum of Close,Sum of Column1,Year,Quarter,Month,Day,Sum of High,Sum of Low,Sum of Open,Sum of Volume
1124.053711,1286.050049,151,2015,Qtr 3,August,10,1294.5,1278.300049,1286,1431182
1138.082031,1302.099976,152,2015,Qtr 3,August,11,1305,1271.050049,1289,2200306
1167.580811,1335.849976,153,2015,Qtr 3,August,12,1345.699951,1301,1301.550049,3479784
1151.804199,1317.800049,154,2015,Qtr 3,August,13,1342,1278,1335,1406426
1181.346802,1351.599976,155,2015,Qtr 3,August,14,1359.675049,1318.550049,1319,2293964
1173.283691,1342.375,156,2015,Qtr 3,August,17,1348.400024,1327.5,1345.050049,773644
1197.822021,1370.449951,157,2015,Qtr 3,August,18,1374.949951,1345,1353.449951,1916926
1194.632568,1366.800049,158,2015,Qtr 3,August,19,1376.425049,1360.949951,1375,1690070
1174.201294,1343.425049,159,2015,Qtr 3,August,20,1372.5,1336,1372.5,2349298
1169.525269,1338.074951,160,2015,Qtr 3,August,21,1364.949951,1327.550049,1356,3536080
1126.91626,1289.324951,161,2015,Qtr 3,August,24,1322.5,1284.550049,1319.5,4692344
1121.890747,1283.574951,162,2015,Qtr 3,August,25,1311,1267.75,1293.949951,3925800
1126.085571,1288.375,163,2015,Qtr 3,August,26,1319.5,1255.974976,1279.025024,3216158
1125.168579,1287.324951,164,2015,Qtr 3,August,27,1307.449951,1272.900024,1307.449951,5264798
1123.507324,1285.425049,165,2015,Qtr 3,August,28,1304.5,1278.849976,1304.5,2744152
1120.535645,1282.025024,166,2015,Qtr 3,August,31,1295,1265.525024,1295,3692044
1108.889404,1268.699951,167,2015,Qtr 3,September,1,1305.599976,1265,1278,2987602
1132.663208,1295.900024,168,2015,Qtr 3,September,2,1310.224976,1274,1279.849976,3765950
1138.693726,1302.800049,169,2015,Qtr 3,September,3,1307.5,1288.125,1298.050049,2265074
1113.281128,1273.724976,170,2015,Qtr 3,September,4,1307.449951,1269.574951,1305.699951,2426396
1109.916138,1269.875,171,2015,Qtr 3,September,7,1279.974976,1266.349976,1276.5,1759184
1110.156616,1270.150024,172,2015,Qtr 3,September,8,1282.050049,1261.75,1272.5,1787746
1114.286255,1274.875,173,2015,Qtr 3,September,9,1287,1272,1281.474976,2045076
1112.385376,1272.699951,174,2015,Qtr 3,September,10,1289.25,1263.5,1271,2665818
1115.269653,1276,175,2015,Qtr 3,September,11,1284.199951,1270.300049,1273.25,1592672
1115.116455,1275.824951,176,2015,Qtr 3,September,14,1282.5,1271.5,1282.5,1589318
1108.823486,1268.625,177,2015,Qtr 3,September,15,1279.449951,1268,1275.824951,1379900
1114.548584,1275.175049,178,2015,Qtr 3,September,16,1282.5,1270.525024,1277.5,1756816
1114.942139,1275.625,179,2015,Qtr 3,September,18,1293,1269.5,1282.5,2455294
1114.854736,1275.525024,180,2015,Qtr 3,September,21,1278.550049,1266.599976,1275,1108840
1104.25708,1263.400024,181,2015,Qtr 3,September,22,1286.199951,1245,1278.75,2081246
1106.813477,1266.324951,182,2015,Qtr 3,September,23,1278.875,1256.300049,1267.150024,1228352
1127.681274,1290.199951,183,2015,Qtr 3,September,24,1295,1264.949951,1267.75,2354254
1133.493042,1296.849976,184,2015,Qtr 3,September,28,1309.5,1289.75,1297,2366812
1131.111572,1294.125,185,2015,Qtr 3,September,29,1317,1284.925049,1291.675049,3325952
1131.02417,1294.025024,186,2015,Qtr 3,September,30,1321.849976,1285.474976,1321.849976,3368336
1155.737671,1322.300049,187,2015,Qtr 4,October,1,1324.974976,1296.099976,1299.5,2834408
1185.039429,1355.824951,188,2015,Qtr 4,October,5,1385,1326.349976,1326.349976,4807306
1179.948364,1350,189,2015,Qtr 4,October,6,1363,1342,1362.5,3979590
1159.82373,1326.974976,190,2015,Qtr 4,October,7,1358.5,1323.474976,1346.974976,2065530
1151.017944,1316.900024,191,2015,Qtr 4,October,8,1339.175049,1310,1335,2357550
1149.204346,1314.824951,192,2015,Qtr 4,October,9,1325.300049,1304,1325.25,2249724
1133.012695,1296.300049,193,2015,Qtr 4,October,12,1330.175049,1293.5,1327.5,2455912
1135.613037,1299.275024,194,2015,Qtr 4,October,13,1306,1283.800049,1301.400024,6179712
1085.421143,1241.849976,195,2015,Qtr 4,October,14,1274,1240,1274,8337128
1078.45105,1233.875,196,2015,Qtr 4,October,15,1251.75,1232.5,1245,3215710
1080.30835,1236,197,2015,Qtr 4,October,16,1246,1235,1240.449951,2333828
1087.628174,1244.375,198,2015,Qtr 4,October,19,1247.474976,1227.925049,1245,3130642
1104.234863,1263.375,199,2015,Qtr 4,October,20,1265,1247.800049,1248.125,2695084
1110.489502,1265,200,2015,Qtr 4,October,21,1271,1261.125,1267.5,1929688
1116.054199,1268.574951,201,2015,Qtr 4,October,23,1274,1263.650024,1274,2335398
1115.790527,1268.275024,202,2015,Qtr 4,October,26,1274.5,1257.550049,1274.5,1414630
1113.392944,1265.550049,203,2015,Qtr 4,October,27,1272.449951,1260.175049,1265.025024,1530420
1112.513428,1264.550049,204,2015,Qtr 4,October,28,1266.775024,1255.025024,1255.025024,1255342
1097.666992,1247.675049,205,2015,Qtr 4,October,29,1267.699951,1245.025024,1266.775024,3130316
1097.601318,1247.599976,206,2015,Qtr 4,October,30,1255.949951,1242.5,1250,1516696
1107.344727,1258.675049,207,2015,Qtr 4,November,2,1261.400024,1243.775024,1250,1319294
1118.825439,1271.724976,208,2015,Qtr 4,November,3,1273.900024,1259.25,1264,1364906
1114.580811,1266.900024,209,2015,Qtr 4,November,4,1273.599976,1260,1272.5,991434
1092.080688,1241.324951,210,2015,Qtr 4,November,5,1267.474976,1240,1265.400024,1596098
1102.241821,1252.875,211,2015,Qtr 4,November,6,1259.125,1241.724976,1246,908024
1087.109863,1235.675049,212,2015,Qtr 4,November,9,1251.375,1234.300049,1247.5,2021556
1081.302979,1229.074951,213,2015,Qtr 4,November,10,1238.5,1225,1236.474976,1361920
1054.579834,1198.699951,214,2015,Qtr 4,November,13,1219.025024,1193.275024,1219.025024,2743232
1044.551147,1187.300049,215,2015,Qtr 4,November,16,1195,1178,1195,2043528
1051.567017,1195.275024,216,2015,Qtr 4,November,17,1199.224976,1187.5,1190.25,1985028
